,%facilitation,%facilitation,%facilitation,%facilitation,%facilitation,%facilitation,%facilitation
pulse number,LOT,Associational Piriform,Piri-ent,LPP,MF,CA3 recurrents,SC
1,100,100,100,100,100,100,100
2,132,93,110,130,116,124.15,128
3,135,86,111,126,137,123.76,134
4,131,86,111,123,159,126.7,138
5,127,85,109,123,174,130.55,140
6,124,85,107,122,187,131.11,141
7,121,83,107,121,199,132.26,142
8,119,83,106,121,209,134.41,143
9,118,83,106,120,223,132.05,140
10,117,84,105,119,233,130.28,140
11,115,81,104,119,232,128.46,136
12,114,83,104,118,247,128.26,133
13,112,81,104,118,246,128.85,131
14,112,82,103,117,247,125.7,129
15,111,82,103,118,250,125.07,127
16,108,83,103,118,249,125.53,124
17,108,82,102,118,255,125.97,126
18,107,82,102,118,254,125.33,123
19,107,81,102,119,249,121.13,122
20,106,81,101,118,265,122.15,124
21,106,81,102,118,255,122.19,126
22,106,82,101,119,258,121.63,124
23,104,80,101,117,260,123.33,124
24,104,81,100,117,260,123.32,123
25,105,80,100,116,258,122.5,125
26,103,82,101,116,262,122.89,126
27,103,81,100,116,254,121.21,126
28,102,81,100,115,269,123.92,126
29,101,81,100,113,263,120.98,127
30,102,80,100,115,264,121.72,129
31,101,80,99,116,270,120.27,129
32,100,80,99,115,270,122.83,127
33,100,80,100,116,271,123.42,129
34,100,80,99,115,271,124.22,129
35,98,79,100,115,263,121.72,130
36,99,80,99,115,273,124.19,132
37,98,79,99,115,275,124.48,131
38,99,79,100,115,270,121.6,131
39,98,79,98,115,271,123.12,131
40,99,79,98,115,270,121.3,133
41,98,79,99,114,270,124.53,132
42,99,80,98,115,272,121.9,133
43,99,80,99,114,278,123,133
44,98,78,99,115,280,124.13,135
45,98,78,98,115,278,122.92,134
46,98,78,97,115,282,124.19,134
47,98,79,98,115,278,125.04,132
48,97,77,97,115,279,123.17,136
49,97,79,97,115,283,122.36,136
50,97,77,98,114,280,122.96,135
51,97,77,97,114,280,122.59,136
52,97,78,98,114,280,122.53,139
53,96,79,98,114,274,122.54,139
54,97,76,97,115,275,125.7,138
55,96,80,96,114,275,122.45,139
56,97,76,97,114,289,124.83,138
57,96,80,98,113,284,122.77,139
58,96,75,96,113,284,123.98,138
59,95,78,97,114,291,120.29,138
60,95,76,96,116,282,123.49,139
61,95,78,97,116,279,123.51,139
62,96,77,96,115,280,125.64,139
63,95,77,96,116,289,122.89,140
64,95,76,95,114,293,122.43,141
65,96,76,96,115,287,120.96,140
66,95,76,96,116,289,123.42,139
67,96,76,95,115,289,123.01,140
68,94,76,95,115,290,124.28,140
69,95,76,96,115,287,123.12,141
70,96,75,96,116,294,122.31,141
71,94,76,96,116,292,122.28,140
72,95,75,96,116,287,122.94,141
73,94,76,95,116,290,121.61,138
74,95,74,96,117,294,121.71,140
75,95,76,95,116,301,121.92,140
76,94,74,95,117,294,121.73,139
77,94,76,96,115,306,120.36,140
78,93,73,96,115,297,123.6,140
79,93,75,95,114,302,122.63,139
80,92,74,95,115,302,120.34,138
81,94,75,96,116,301,121.19,139
82,94,75,94,115,303,123.3,141
83,92,74,94,114,305,121.19,140
84,93,73,95,115,311,119.59,140
85,93,75,94,115,304,123.26,139
86,91,73,95,114,312,121.7,140
87,92,74,93,113,308,122.96,140
88,93,74,94,113,304,122,141
89,92,74,94,113,305,121.55,138
90,92,73,94,114,307,120.16,139
91,94,72,94,113,302,122.83,140
92,93,73,93,112,307,119.71,138
93,93,72,94,112,306,122.53,138
94,92,72,94,112,314,120.25,139
95,91,72,92,113,314,120.91,139
96,92,72,94,113,309,117.53,140
97,93,74,93,112,304,117.51,140
